iter	RMSE
0	2821.685091
1	2776.418727
2	2733.182885
3	2690.183333
4	2647.805941
5	2607.297788
6	2566.689952
7	2526.997334
8	2487.667914
9	2450.046864
10	2412.579809
11	2375.51623
12	2340.600435
13	2305.411553
14	2272.027192
15	2238.810631
16	2206.232039
17	2174.251366
18	2144.073133
19	2113.650301
20	2083.420531
21	2054.590454
22	2026.554039
23	1997.727726
24	1971.014371
25	1943.954243
26	1917.066438
27	1891.875277
28	1866.852239
29	1841.636598
30	1817.207637
31	1793.754542
32	1772.205523
33	1749.762179
34	1728.163205
35	1707.381309
36	1685.784899
37	1665.301046
38	1644.587437
39	1624.390279
40	1605.215978
41	1585.81491
42	1567.27874
43	1549.563687
44	1530.800187
45	1513.50206
46	1496.295344
47	1479.529755
48	1463.251873
49	1447.538727
50	1431.470982
51	1416.058554
52	1400.758496
53	1386.996727
54	1372.592777
55	1359.541729
56	1345.909465
57	1333.167047
58	1320.398879
59	1307.721019
60	1295.747473
61	1284.279779
62	1272.403719
63	1261.281179
64	1250.00127
65	1237.610978
66	1226.820148
67	1216.037602
68	1204.907591
69	1194.382024
70	1184.108299
71	1174.52856
72	1164.809922
73	1155.508767
74	1146.67987
75	1138.277234
76	1128.795767
77	1119.887604
78	1111.561187
79	1102.500978
80	1094.179929
81	1086.000161
82	1078.334673
83	1070.810649
84	1062.974011
85	1054.746616
86	1046.91367
87	1039.997298
88	1032.841256
89	1026.369371
90	1018.998109
91	1012.293802
92	1006.707183
93	1000.95774
94	994.3781452
95	988.3664347
96	981.7424584
97	975.9528767
98	970.0646531
99	964.2679013
100	958.5200926
101	952.8995096
102	948.4056041
103	943.5330089
104	937.2098705
105	932.5699962
106	927.0601894
107	921.8222292
108	916.8044339
109	912.7249907
110	908.2682831
111	904.1884219
112	900.004592
113	895.4082275
114	890.4428114
115	886.6441599
116	882.0106059
117	877.9097114
118	874.6448036
119	870.6527175
120	867.1417592
121	863.3659166
122	859.8056366
123	856.9133425
124	852.6056989
125	849.5998912
126	846.5920385
127	843.0114691
128	839.3075723
129	836.0678586
130	833.2144824
131	830.4304661
132	826.9507998
133	823.7132951
134	820.4971852
135	817.9744317
136	814.6531298
137	811.9085582
138	808.6315155
139	805.0200654
140	801.9409664
141	798.8759827
142	796.7776211
143	793.5590634
144	790.6863594
145	788.3992981
146	785.9600209
147	783.77411
148	782.0616604
149	779.9217835
150	777.7560928
