"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/10/2023","00:00-00:15","4597.1","350.5","5280.24"
"01/10/2023","00:15-00:30","4594.7","350.5","5173.92"
"01/10/2023","00:30-00:45","4559.2","350.5","5173.66"
"01/10/2023","00:45-01:00","4525.9","350.5","5173.5"
"01/10/2023","01:00-01:15","4599.5","362.5","4999.74"
"01/10/2023","01:15-01:30","4530.8","362.5","4999.5"
"01/10/2023","01:30-01:45","4439.5","362.5","4865.91"
"01/10/2023","01:45-02:00","4375.4","362.5","4865.26"
"01/10/2023","02:00-02:15","3753.4","338.5","4628.19"
"01/10/2023","02:15-02:30","3543.5","338.5","4623.42"
"01/10/2023","02:30-02:45","3543.6","338.5","4623.95"
"01/10/2023","02:45-03:00","3591.1","350.5","4623.47"
"01/10/2023","03:00-03:15","3545.1","350.5","4628.79"
"01/10/2023","03:15-03:30","3085.9","350.5","4623.33"
"01/10/2023","03:30-03:45","3136.1","350.5","4628.04"
"01/10/2023","03:45-04:00","3182.9","440.5","4520.34"
"01/10/2023","04:00-04:15","2995.3","427.5","4520.23"
"01/10/2023","04:15-04:30","2935.9","335.5","4310.58"
"01/10/2023","04:30-04:45","2582","335.5","3999.09"
"01/10/2023","04:45-05:00","2586.2","332.5","3729.88"
"01/10/2023","05:00-05:15","807.3","155","2999.01"
"01/10/2023","05:15-05:30","786.1","167","2999.79"
"01/10/2023","05:30-05:45","777.1","167","2999.23"
"01/10/2023","05:45-06:00","710.86","302.49","3300.18"
"01/10/2023","06:00-06:15","642.5","303.5","3774.8"
"01/10/2023","06:15-06:30","605.2","329.3","4050.49"
"01/10/2023","06:30-06:45","472.5","404","4465.83"
"01/10/2023","06:45-07:00","483.2","948","4145.34"
"01/10/2023","07:00-07:15","605.8","1533.1","3811.33"
"01/10/2023","07:15-07:30","651.3","1544.1","3669.84"
"01/10/2023","07:30-07:45","633.5","820.71","3624.28"
"01/10/2023","07:45-08:00","660.4","589.97","3458.98"
"01/10/2023","08:00-08:15","623.6","427.22","3199.84"
"01/10/2023","08:15-08:30","650.8","448.81","3148.34"
"01/10/2023","08:30-08:45","647.1","595.63","3104.06"
"01/10/2023","08:45-09:00","625","546.01","2999.97"
"01/10/2023","09:00-09:15","634.8","727.06","2999.38"
"01/10/2023","09:15-09:30","622.9","692.93","3000.68"
"01/10/2023","09:30-09:45","595.3","730.22","3032.68"
"01/10/2023","09:45-10:00","557.2","689.33","2999.61"
"01/10/2023","10:00-10:15","560.9","645.8","2787.7"
"01/10/2023","10:15-10:30","536.3","627.79","2500.39"
"01/10/2023","10:30-10:45","551.6","507.74","2429.78"
"01/10/2023","10:45-11:00","530.7","486.32","2429.27"
"01/10/2023","11:00-11:15","597.8","542.28","2429.11"
"01/10/2023","11:15-11:30","590.9","530","2340.88"
"01/10/2023","11:30-11:45","575.1","421.54","2329.94"
"01/10/2023","11:45-12:00","558.5","413.61","2265.39"
"01/10/2023","12:00-12:15","572.7","423.02","2258.18"
"01/10/2023","12:15-12:30","551.5","439.85","2314.62"
"01/10/2023","12:30-12:45","528.2","471.14","2271.93"
"01/10/2023","12:45-13:00","529.7","487.94","2258.7"
"01/10/2023","13:00-13:15","488.5","455.26","2006.38"
"01/10/2023","13:15-13:30","494","455.49","1999.84"
"01/10/2023","13:30-13:45","500","475.23","2066.98"
"01/10/2023","13:45-14:00","502.5","352.9","2096.73"
"01/10/2023","14:00-14:15","513.8","341.5","2107.5"
"01/10/2023","14:15-14:30","549.8","324.3","2224.71"
"01/10/2023","14:30-14:45","577.5","317.6","2850.35"
"01/10/2023","14:45-15:00","594.8","309.8","2948.56"
"01/10/2023","15:00-15:15","630.7","288.1","2293.9"
"01/10/2023","15:15-15:30","645.2","275.8","2948.22"
"01/10/2023","15:30-15:45","695.7","264.9","2999.3"
"01/10/2023","15:45-16:00","702.8","260.1","3112.95"
"01/10/2023","16:00-16:15","704.9","318.74","3180.49"
"01/10/2023","16:15-16:30","694.5","428.8","3499.77"
"01/10/2023","16:30-16:45","674.3","765.6","3656.35"
