"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/10/2023","00:00-00:15","120.19","57.6","6000.29"
"01/10/2023","00:15-00:30","121.6","57.8","6000.06"
"01/10/2023","00:30-00:45","103.5","58.6","5587.26"
"01/10/2023","00:45-01:00","105.47","58.9","5500.64"
"01/10/2023","01:00-01:15","85.22","47.8","5500.56"
"01/10/2023","01:15-01:30","94.91","48.1","5500.4"
"01/10/2023","01:30-01:45","109.5","48.5","5414.52"
"01/10/2023","01:45-02:00","95.7","48.8","5280.85"
"01/10/2023","02:00-02:15","93.5","72.8","5280.23"
"01/10/2023","02:15-02:30","98.8","72.7","5280.4"
"01/10/2023","02:30-02:45","103","72.7","5280.17"
"01/10/2023","02:45-03:00","53.86","60.6","4500.76"
"01/10/2023","03:00-03:15","58.06","60.4","4500.7"
"01/10/2023","03:15-03:30","82.33","60.3","4500.29"
"01/10/2023","03:30-03:45","83.46","60.2","4500.17"
"01/10/2023","03:45-04:00","81.24","60.1","4500.2"
"01/10/2023","04:00-04:15","93.63","69","4500.12"
"01/10/2023","04:15-04:30","93.91","68.9","4500.01"
"01/10/2023","04:30-04:45","95.08","68.9","4500.09"
"01/10/2023","04:45-05:00","88.83","69","4500.25"
"01/10/2023","05:00-05:15","92.24","69.2","4500.19"
"01/10/2023","05:15-05:30","102.8","66.3","5280.09"
"01/10/2023","05:30-05:45","88","66.4","5280.02"
"01/10/2023","05:45-06:00","90.3","66.4","5280.1"
"01/10/2023","06:00-06:15","96.6","66.4","5280.45"
"01/10/2023","06:15-06:30","98.6","67","5280.42"
"01/10/2023","06:30-06:45","96.3","69.3","5280.43"
"01/10/2023","06:45-07:00","96.2","72.4","5280.45"
"01/10/2023","07:00-07:15","89.5","77","4800.96"
"01/10/2023","07:15-07:30","85.4","94.9","4800.88"
"01/10/2023","07:30-07:45","77.8","107.8","4800.66"
"01/10/2023","07:45-08:00","75.3","120.9","4800.57"
"01/10/2023","08:00-08:15","77.8","133.7","4800.61"
"01/10/2023","08:15-08:30","40.7","151","4313.45"
"01/10/2023","08:30-08:45","36.4","166.2","4250.52"
"01/10/2023","08:45-09:00","42.5","181.1","4223.15"
"01/10/2023","09:00-09:15","37.5","168.8","4539.57"
"01/10/2023","09:15-09:30","42.1","185.5","4539.25"
"01/10/2023","09:30-09:45","38.5","190.2","4539.01"
"01/10/2023","09:45-10:00","37.3","203.8","4468.73"
"01/10/2023","10:00-10:15","37.9","215.8","4272.73"
"01/10/2023","10:15-10:30","44.4","224","4266.43"
"01/10/2023","10:30-10:45","47.3","224.6","4270.87"
"01/10/2023","10:45-11:00","41.7","229.1","4245.9"
"01/10/2023","11:00-11:15","43.6","234","4119.67"
"01/10/2023","11:15-11:30","48.6","237.3","4121.3"
"01/10/2023","11:30-11:45","49.9","240.4","4116.4"
"01/10/2023","11:45-12:00","43.7","242.3","4100.98"
"01/10/2023","12:00-12:15","32.5","243.5","4100.81"
"01/10/2023","12:15-12:30","30.9","244.1","4100.15"
"01/10/2023","12:30-12:45","31.1","244.2","4100.15"
"01/10/2023","12:45-13:00","23.6","244","4100.05"
"01/10/2023","13:00-13:15","29.33","241.7","4000.55"
"01/10/2023","13:15-13:30","25.9","239.6","4000.55"
"01/10/2023","13:30-13:45","22.6","227.5","4100.31"
"01/10/2023","13:45-14:00","25.7","221.5","4100.43"
"01/10/2023","14:00-14:15","26","206.1","4100.69"
"01/10/2023","14:15-14:30","25.8","197.1","4100.79"
