"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/10/2023","00:00-00:15","413.9","0.2","4290.01"
"01/10/2023","00:15-00:30","394","13.69","4648.14"
"01/10/2023","00:30-00:45","243.1","0.2","5500.39"
"01/10/2023","00:45-01:00","243.6","0.2","5500.86"
"01/10/2023","01:00-01:15","386.3","0.2","5142.02"
"01/10/2023","01:15-01:30","316.12","0.2","4500.57"
"01/10/2023","01:30-01:45","566.9","18.2","4378.74"
"01/10/2023","01:45-02:00","580","16.2","4140"
"01/10/2023","02:00-02:15","540.4","15.2","4999.01"
"01/10/2023","02:15-02:30","540.9","15.2","4999.3"
"01/10/2023","02:30-02:45","195.12","15.2","4500.32"
"01/10/2023","02:45-03:00","174.9","15.2","4378.87"
"01/10/2023","03:00-03:15","244","0.2","4500.95"
"01/10/2023","03:15-03:30","293.4","0.2","4022.86"
"01/10/2023","03:30-03:45","327.2","20.2","3797.56"
"01/10/2023","03:45-04:00","333.7","10.2","3811.47"
"01/10/2023","04:00-04:15","485.4","110.24","3999.23"
"01/10/2023","04:15-04:30","493.2","231.2","4022.52"
"01/10/2023","04:30-04:45","322","450.2","3929.44"
"01/10/2023","04:45-05:00","342.5","483.2","3999.82"
"01/10/2023","05:00-05:15","351.2","632.7","3999.61"
"01/10/2023","05:15-05:30","312.3","388.4","4137.86"
"01/10/2023","05:30-05:45","240.9","184.4","4378.59"
"01/10/2023","05:45-06:00","252","61.9","4125.6"
"01/10/2023","06:00-06:15","355.5","71","4224.41"
"01/10/2023","06:15-06:30","537.7","158.51","4648.55"
"01/10/2023","06:30-06:45","569","196.1","4705.97"
"01/10/2023","06:45-07:00","584.8","223.6","4705.31"
"01/10/2023","07:00-07:15","224.69","39.5","4000.84"
"01/10/2023","07:15-07:30","191.8","79.3","4022.41"
"01/10/2023","07:30-07:45","118.27","82.7","4000.89"
"01/10/2023","07:45-08:00","115.1","282.8","3811.03"
"01/10/2023","08:00-08:15","428.5","221.4","3227.42"
"01/10/2023","08:15-08:30","422.4","209.5","3020.76"
"01/10/2023","08:30-08:45","419.2","256.6","3000.86"
"01/10/2023","08:45-09:00","420.5","226.7","3011.89"
"01/10/2023","09:00-09:15","438.5","160.3","2500.5"
"01/10/2023","09:15-09:30","441.7","181.3","2720.54"
"01/10/2023","09:30-09:45","462.2","129.5","2500.59"
"01/10/2023","09:45-10:00","461.9","161.5","2500.59"
"01/10/2023","10:00-10:15","487.5","111.5","1799.85"
"01/10/2023","10:15-10:30","506.1","101.5","1999.74"
"01/10/2023","10:30-10:45","554.3","183","3020.51"
"01/10/2023","10:45-11:00","556.6","210.1","3020.39"
"01/10/2023","11:00-11:15","559","136.7","3300.05"
"01/10/2023","11:15-11:30","563.6","126.7","3300.56"
"01/10/2023","11:30-11:45","588.9","112","3129.34"
"01/10/2023","11:45-12:00","604.3","3.7","2527.5"
"01/10/2023","12:00-12:15","619.28","49.7","2000.16"
"01/10/2023","12:15-12:30","633.42","40","2000.49"
"01/10/2023","12:30-12:45","603","5.4","2486.74"
"01/10/2023","12:45-13:00","617.2","5.7","2499.15"
"01/10/2023","13:00-13:15","593","51.1","1999.35"
"01/10/2023","13:15-13:30","580.1","35.9","2474.06"
"01/10/2023","13:30-13:45","658.2","6.8","2474.32"
"01/10/2023","13:45-14:00","680.6","6.5","2800.12"
"01/10/2023","14:00-14:15","710.6","336.1","2474.46"
"01/10/2023","14:15-14:30","715.59","185.7","2700.92"
"01/10/2023","14:30-14:45","710.3","110","2679.88"
"01/10/2023","14:45-15:00","672.3","217.9","3020.1"
"01/10/2023","15:00-15:15","644.2","118.9","2681.25"
"01/10/2023","15:15-15:30","625.2","178.84","2999.81"
"01/10/2023","15:30-15:45","611.1","120","3510.02"
"01/10/2023","15:45-16:00","596.6","104.4","3510.12"
"01/10/2023","16:00-16:15","708.7","94.3","3020.8"
"01/10/2023","16:15-16:30","681.6","0.7","3243.59"
"01/10/2023","16:30-16:45","747.3","4.6","3400.34"
"01/10/2023","16:45-17:00","756.4","14.5","3530.85"
"01/10/2023","17:00-17:15","802.7","215.4","3510.93"
"01/10/2023","17:15-17:30","765.8","210.3","3830.93"
"01/10/2023","17:30-17:45","583.1","480.1","4730.65"
"01/10/2023","17:45-18:00","464.6","444.4","4950.6"
"01/10/2023","18:00-18:15","466.9","477.1","4511.22"
"01/10/2023","18:15-18:30","467.9","372.2","4542.45"
"01/10/2023","18:30-18:45","459.4","328.6","4140.23"
"01/10/2023","18:45-19:00","392.3","36.6","4224.05"
"01/10/2023","19:00-19:15","532.1","377.4","4140.36"
"01/10/2023","19:15-19:30","521.84","301.2","3750.63"
"01/10/2023","19:30-19:45","741.1","473.9","3424.84"
"01/10/2023","19:45-20:00","675.9","399.2","3277.61"
"01/10/2023","20:00-20:15","436.8","310.2","3017.24"
"01/10/2023","20:15-20:30","446.6","351.2","3011.16"
"01/10/2023","20:30-20:45","524.3","600.2","2999.87"
"01/10/2023","20:45-21:00","646.5","347.2","3510.85"
"01/10/2023","21:00-21:15","692","16.2","3830.62"
"01/10/2023","21:15-21:30","721.8","17.2","3830.72"
"01/10/2023","21:30-21:45","850.5","100.2","3811.24"
"01/10/2023","21:45-22:00","668.4","300.2","3616.5"
"01/10/2023","22:00-22:15","412.3","0.2","3496.07"
"01/10/2023","22:15-22:30","712.7","0.2","3496.43"
"01/10/2023","22:30-22:45","395","0.2","3830.09"
"01/10/2023","22:45-23:00","393.8","0.2","3811.86"
"01/10/2023","23:00-23:15","410.2","28.6","4039.07"
"01/10/2023","23:15-23:30","457.18","28.6","4280.07"
"01/10/2023","23:30-23:45","393.2","28.6","4083.63"
"01/10/2023","23:45-24:00","396.4","0.2","3900.41"
"02/10/2023","00:00-00:15","1053.2","303.2","4551.91"
"02/10/2023","00:15-00:30","693","161","4500.27"
"02/10/2023","00:30-00:45","605","204.6","5499.38"
"02/10/2023","00:45-01:00","501.9","58.5","4999.62"
"02/10/2023","01:00-01:15","491.27","241.5","3502.83"
"02/10/2023","01:15-01:30","536.4","50.5","3496.06"
"02/10/2023","01:30-01:45","563","28.5","3277.32"
"02/10/2023","01:45-02:00","565.9","30.5","3262.39"
"02/10/2023","02:00-02:15","585.8","0.5","3277.45"
"02/10/2023","02:15-02:30","747.7","0.5","3250.99"
"02/10/2023","02:30-02:45","845.95","0.5","3500.48"
"02/10/2023","02:45-03:00","799.03","15.5","3500.24"
"02/10/2023","03:00-03:15","626.6","0.5","3510.2"
"02/10/2023","03:15-03:30","777","0.5","3396.98"
"02/10/2023","03:30-03:45","789.9","100.5","3489.46"
"02/10/2023","03:45-04:00","688.8","150.5","3396.43"
"02/10/2023","04:00-04:15","684.2","450.5","3020.51"
"02/10/2023","04:15-04:30","497.5","350.5","3122.5"
"02/10/2023","04:30-04:45","489.7","325.5","3265.48"
"02/10/2023","04:45-05:00","394.4","250.5","3396.27"
"02/10/2023","05:00-05:15","563.12","500.5","3800.51"
"02/10/2023","05:15-05:30","521.83","300.5","3825.25"
"02/10/2023","05:30-05:45","511","0.5","3929.21"
"02/10/2023","05:45-06:00","528","0.5","3869.52"
"02/10/2023","06:00-06:15","477.68","415.5","3780.87"
"02/10/2023","06:15-06:30","487.57","300.5","3750.71"
"02/10/2023","06:30-06:45","418.9","200.5","4000.72"
"02/10/2023","06:45-07:00","439.46","200.5","4000.91"
"02/10/2023","07:00-07:15","704.3","300.5","3510.82"
"02/10/2023","07:15-07:30","674.1","400.5","3500.34"
"02/10/2023","07:30-07:45","598.3","233.11","2913.05"
"02/10/2023","07:45-08:00","559.3","300.69","2500.97"
"02/10/2023","08:00-08:15","545.7","19.5","2529.1"
"02/10/2023","08:15-08:30","512.8","26.2","2790.81"
"02/10/2023","08:30-08:45","456.7","83.5","3364.3"
"02/10/2023","08:45-09:00","356.5","210.5","3093.57"
"02/10/2023","09:00-09:15","266.7","110.5","3825.36"
"02/10/2023","09:15-09:30","241.76","66.5","3830.51"
"02/10/2023","09:30-09:45","415.4","332.2","3259.92"
"02/10/2023","09:45-10:00","413","566.7","3197.48"
"02/10/2023","10:00-10:15","582.1","909.1","3197.02"
"02/10/2023","10:15-10:30","582.1","944.3","3000.94"
"02/10/2023","10:30-10:45","585","590.3","2831.52"
"02/10/2023","10:45-11:00","591","684.72","2497.28"
"02/10/2023","11:00-11:15","559.1","1119","3020.42"
"02/10/2023","11:15-11:30","539.1","1089.1","3020.81"
"02/10/2023","11:30-11:45","501.2","1042.6","3201.24"
"02/10/2023","11:45-12:00","501.2","1036.7","3000.72"
"02/10/2023","12:00-12:15","557.1","930.4","2509.04"
"02/10/2023","12:15-12:30","552.42","917.5","2600.48"
"02/10/2023","12:30-12:45","571.9","748.23","1999.54"
"02/10/2023","12:45-13:00","571.9","738.06","1999.36"
"02/10/2023","13:00-13:15","565.9","1439.48","1745.63"
"02/10/2023","13:15-13:30","565.9","1085.8","1999.08"
"02/10/2023","13:30-13:45","603.6","1076.2","1999.38"
"02/10/2023","13:45-14:00","614.9","885.2","2508.13"
"02/10/2023","14:00-14:15","595.5","966.4","3020.15"
"02/10/2023","14:15-14:30","595.6","825","2999.36"
"02/10/2023","14:30-14:45","581.7","636.2","3020.12"
"02/10/2023","14:45-15:00","639.8","520.4","3197.05"
"02/10/2023","15:00-15:15","587.88","996.8","2500.98"
"02/10/2023","15:15-15:30","572.1","1008.2","3017.09"
"02/10/2023","15:30-15:45","592.5","856.6","3364.44"
"02/10/2023","15:45-16:00","598.6","620.3","3510.01"
"02/10/2023","16:00-16:15","629.3","560.1","3201.68"
"02/10/2023","16:15-16:30","641.5","592.8","3197.71"
"02/10/2023","16:30-16:45","676.6","477.9","3130.02"
"02/10/2023","16:45-17:00","700.8","465.9","3197.52"
"02/10/2023","17:00-17:15","733.2","796.9","2205"
"02/10/2023","17:15-17:30","761.2","805.9","3000.06"
"02/10/2023","17:30-17:45","777.4","1034.9","3510.94"
"02/10/2023","17:45-18:00","403.1","1035.9","3659.29"
"02/10/2023","18:00-18:15","361.2","651.1","4022.91"
"02/10/2023","18:15-18:30","356.6","637.6","4378.14"
"02/10/2023","18:30-18:45","368.1","210.9","4286.45"
"02/10/2023","18:45-19:00","373","142.1","4286.83"
"02/10/2023","19:00-19:15","446.6","525.66","4551.83"
"02/10/2023","19:15-19:30","515.7","464.5","4650.66"
"02/10/2023","19:30-19:45","522.9","487.51","4551.08"
"02/10/2023","19:45-20:00","478.7","496","4140.7"
"02/10/2023","20:00-20:15","437.4","528.5","3499.96"
"02/10/2023","20:15-20:30","437.3","248.6","3496.82"
"02/10/2023","20:30-20:45","424.4","282.76","3424.42"
"02/10/2023","20:45-21:00","479.9","362.9","3719.01"
"02/10/2023","21:00-21:15","481.1","113.1","3805.7"
"02/10/2023","21:15-21:30","641.9","137.9","4050.83"
"02/10/2023","21:30-21:45","571.3","236.1","3519.63"
"02/10/2023","21:45-22:00","506.5","691.6","3500.95"
"02/10/2023","22:00-22:15","419.7","323.6","3396.05"
"02/10/2023","22:15-22:30","619","316.6","3500.94"
"02/10/2023","22:30-22:45","597.4","365.6","3659.28"
"02/10/2023","22:45-23:00","579.3","415","4029.57"
"02/10/2023","23:00-23:15","420.7","220.9","3610.81"
"02/10/2023","23:15-23:30","420.3","174.1","3659.49"
"02/10/2023","23:30-23:45","474.51","150.5","4100.5"
"02/10/2023","23:45-24:00","452.39","98.1","3700.8"
