"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/04/2023","00:00-00:15","711.2","916.5","5487.6"
"01/04/2023","00:15-00:30","682.3","964.5","6043.92"
"01/04/2023","00:30-00:45","663.9","1026","6668.4"
"01/04/2023","00:45-01:00","666.3","1066","6668.23"
"01/04/2023","01:00-01:15","155.5","1031.5","6195.77"
"01/04/2023","01:15-01:30","182.2","1072.5","6016.05"
"01/04/2023","01:30-01:45","171.6","1094.5","5487.06"
"01/04/2023","01:45-02:00","204.3","1108.5","5340.91"
"01/04/2023","02:00-02:15","240.1","930.5","4972.84"
"01/04/2023","02:15-02:30","475.12","1052.5","4972.38"
"01/04/2023","02:30-02:45","654.95","1093.5","4972.05"
"01/04/2023","02:45-03:00","696","1200.5","4811.06"
"01/04/2023","03:00-03:15","685.2","1216.5","4769.07"
"01/04/2023","03:15-03:30","688.5","1288.99","4978.36"
"01/04/2023","03:30-03:45","658.29","1411.5","5228.15"
"01/04/2023","03:45-04:00","751.6","1531.5","5047.89"
"01/04/2023","04:00-04:15","749.8","1523.5","5393.21"
"01/04/2023","04:15-04:30","571.74","1153.5","5756.32"
"01/04/2023","04:30-04:45","390.03","1005.5","5756.63"
"01/04/2023","04:45-05:00","165.9","985.5","5823.74"
"01/04/2023","05:00-05:15","780.3","1024","6668.42"
"01/04/2023","05:15-05:30","683.4","998","6609.45"
"01/04/2023","05:30-05:45","161.8","927","7000.97"
"01/04/2023","05:45-06:00","167.6","836","7000.64"
"01/04/2023","06:00-06:15","575.6","1412.5","5250.84"
"01/04/2023","06:15-06:30","489.8","2055.5","5250.41"
"01/04/2023","06:30-06:45","396","2724.5","6043.12"
"01/04/2023","06:45-07:00","419.5","3368.8","5700.06"
"01/04/2023","07:00-07:15","425.7","4030.3","5289.94"
"01/04/2023","07:15-07:30","437.2","4722.8","5200.56"
"01/04/2023","07:30-07:45","307.3","5240.6","4729.32"
"01/04/2023","07:45-08:00","339.2","5755.3","4089.58"
"01/04/2023","08:00-08:15","547.6","5702.1","3950.21"
"01/04/2023","08:15-08:30","560.1","5257.49","3700.9"
"01/04/2023","08:30-08:45","650.6","5168.7","3535.65"
"01/04/2023","08:45-09:00","707.4","4868.8","3531.29"
"01/04/2023","09:00-09:15","722.9","4653.01","3526.59"
"01/04/2023","09:15-09:30","726.2","4724.71","3526.78"
"01/04/2023","09:30-09:45","710.7","4620.79","3531.43"
"01/04/2023","09:45-10:00","744.3","3998.5","3400.94"
"01/04/2023","10:00-10:15","960.9","3726.9","3135.22"
"01/04/2023","10:15-10:30","993.8","3541.08","3000.71"
"01/04/2023","10:30-10:45","944.8","3329.2","2999.27"
"01/04/2023","10:45-11:00","968.1","3235.29","2911.05"
"01/04/2023","11:00-11:15","930.8","2402.22","2707.96"
"01/04/2023","11:15-11:30","915","2382.38","2801.89"
"01/04/2023","11:30-11:45","944","2297.52","2815.31"
"01/04/2023","11:45-12:00","1006.9","2578.21","2707.88"
"01/04/2023","12:00-12:15","1012.8","2644.97","2707.09"
"01/04/2023","12:15-12:30","1013.7","2715.6","2701.56"
"01/04/2023","12:30-12:45","973.6","2773.24","2500.84"
"01/04/2023","12:45-13:00","972.4","2893.8","2500.08"
"01/04/2023","13:00-13:15","932.6","2479.73","2224.96"
"01/04/2023","13:15-13:30","935.3","2721.47","2224.62"
"01/04/2023","13:30-13:45","925.3","2655.32","2224.93"
"01/04/2023","13:45-14:00","868.4","2774.5","2360.55"
"01/04/2023","14:00-14:15","825","2870.1","2399.06"
"01/04/2023","14:15-14:30","767.2","2865.2","2560.88"
"01/04/2023","14:30-14:45","764.4","2764.51","2694.03"
"01/04/2023","14:45-15:00","735.4","2899.41","2707.17"
"01/04/2023","15:00-15:15","630","3462.76","2801.13"
"01/04/2023","15:15-15:30","632.4","3751.46","2815.76"
"01/04/2023","15:30-15:45","641.8","4055.58","2957.38"
"01/04/2023","15:45-16:00","641","4373.4","3100.7"
"01/04/2023","16:00-16:15","633.1","4459.28","3135.13"
"01/04/2023","16:15-16:30","678.7","5164.88","3304.95"
"01/04/2023","16:30-16:45","697.6","5200.9","3526.44"
"01/04/2023","16:45-17:00","652.9","5343.08","3531.34"
"01/04/2023","17:00-17:15","650.8","4785.03","3313.35"
"01/04/2023","17:15-17:30","501","4380.9","3304.58"
"01/04/2023","17:30-17:45","466.4","4661.18","3313.07"
"01/04/2023","17:45-18:00","424.7","3836.4","3599.94"
"01/04/2023","18:00-18:15","437.5","3073.6","4000.06"
"01/04/2023","18:15-18:30","364.4","2503.1","4089.43"
