"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/08/2023","00:00-00:15","1543.73","279.7","10000"
"01/08/2023","00:15-00:30","1577.87","299.7","10000"
"01/08/2023","00:30-00:45","1562.34","324.7","10000"
"01/08/2023","00:45-01:00","1476.7","339.7","9499.05"
"01/08/2023","01:00-01:15","1298.5","309.3","6029.7"
"01/08/2023","01:15-01:30","992.9","319.3","5999.29"
"01/08/2023","01:30-01:45","766.33","193.5","5000.59"
"01/08/2023","01:45-02:00","702.5","117.5","4661.85"
"01/08/2023","02:00-02:15","445.5","122.5","3936.5"
"01/08/2023","02:15-02:30","443.78","122.5","3800.86"
"01/08/2023","02:30-02:45","420.5","133.5","3320.03"
"01/08/2023","02:45-03:00","448.6","183.5","3315.93"
"01/08/2023","03:00-03:15","489.9","237.5","3112.18"
"01/08/2023","03:15-03:30","486","261.3","3099.83"
"01/08/2023","03:30-03:45","461.1","193","3010.5"
"01/08/2023","03:45-04:00","452.8","233","3048.75"
"01/08/2023","04:00-04:15","393.1","315","3331.25"
"01/08/2023","04:15-04:30","404.6","330.6","3310.06"
"01/08/2023","04:30-04:45","414.2","346.5","3315.26"
"01/08/2023","04:45-05:00","418.2","358.3","3240.51"
"01/08/2023","05:00-05:15","206.66","284.81","3500.02"
"01/08/2023","05:15-05:30","223.75","294.3","3500.81"
"01/08/2023","05:30-05:45","236.4","319.5","3510.1"
"01/08/2023","05:45-06:00","268.8","345.1","3640.12"
"01/08/2023","06:00-06:15","112.54","907.99","4200.74"
"01/08/2023","06:15-06:30","57.5","1603","4499.16"
"01/08/2023","06:30-06:45","63.4","2363.7","4294.42"
"01/08/2023","06:45-07:00","280.2","3137.6","3939.96"
"01/08/2023","07:00-07:15","276.5","3330.9","3581.38"
"01/08/2023","07:15-07:30","275.7","3144","3463.38"
"01/08/2023","07:30-07:45","228.1","2641.85","3315.65"
"01/08/2023","07:45-08:00","271.2","2071.23","3177.54"
"01/08/2023","08:00-08:15","265.2","1973.13","3007.56"
"01/08/2023","08:15-08:30","254.95","2120.1","3050.99"
"01/08/2023","08:30-08:45","269.5","2073.14","3007.9"
"01/08/2023","08:45-09:00","272.7","1876.6","3007.22"
"01/08/2023","09:00-09:15","284.8","2163.6","2972.58"
"01/08/2023","09:15-09:30","276.7","1844.5","2999.75"
"01/08/2023","09:30-09:45","257.1","1454.4","3099.13"
"01/08/2023","09:45-10:00","239.9","870.5","3181.74"
"01/08/2023","10:00-10:15","231","762.51","3177.92"
"01/08/2023","10:15-10:30","224.9","640.35","3177.87"
"01/08/2023","10:30-10:45","227.9","672.28","3177.65"
"01/08/2023","10:45-11:00","226.9","749.88","3177.15"
"01/08/2023","11:00-11:15","385.9","595.7","3128.14"
"01/08/2023","11:15-11:30","384.1","507.09","3062.89"
"01/08/2023","11:30-11:45","390.3","529.7","3099.99"
"01/08/2023","11:45-12:00","384.8","499.1","3099.52"
"01/08/2023","12:00-12:15","407.49","382.9","2790.31"
"01/08/2023","12:15-12:30","410.5","539.61","2910.42"
"01/08/2023","12:30-12:45","405.8","515.61","2800.11"
"01/08/2023","12:45-13:00","403.4","562.82","2860.99"
"01/08/2023","13:00-13:15","405.7","588.84","2499.4"
"01/08/2023","13:15-13:30","390.6","571.21","2499.88"
"01/08/2023","13:30-13:45","378.2","489.78","2800.49"
"01/08/2023","13:45-14:00","404.8","456.87","2948.25"
"01/08/2023","14:00-14:15","492.6","483.58","3062.01"
"01/08/2023","14:15-14:30","539.1","541.6","3134.01"
"01/08/2023","14:30-14:45","626.8","493.24","3177.28"
"01/08/2023","14:45-15:00","650","422.52","3177.54"
"01/08/2023","15:00-15:15","697.2","433.54","3215.28"
"01/08/2023","15:15-15:30","769.6","532.6","3253.94"
"01/08/2023","15:30-15:45","782.4","717.62","3316.76"
"01/08/2023","15:45-16:00","807","761.42","3378.04"
"01/08/2023","16:00-16:15","837.1","1018.31","3378.43"
"01/08/2023","16:15-16:30","840.8","1338.8","3412.3"
"01/08/2023","16:30-16:45","794.3","1618.05","3326.91"
"01/08/2023","16:45-17:00","782.6","1572.7","3243.31"
"01/08/2023","17:00-17:15","778.9","1343.5","3315.93"
"01/08/2023","17:15-17:30","770.2","1599.16","3378.34"
"01/08/2023","17:30-17:45","728.3","1718.1","3410.26"
"01/08/2023","17:45-18:00","704.7","1750.1","3463.01"
"01/08/2023","18:00-18:15","658.9","1943.1","3581.75"
"01/08/2023","18:15-18:30","695.93","1470.4","4700.5"
"01/08/2023","18:30-18:45","296.9","856.3","6029.39"
"01/08/2023","18:45-19:00","267.1","266.2","8999.41"
"01/08/2023","19:00-19:15","1349.68","364.9","10000"
"01/08/2023","19:15-19:30","1492.74","364.2","10000"
"01/08/2023","19:30-19:45","1914.54","364.2","10000"
"01/08/2023","19:45-20:00","2146.4","364.2","10000"
"01/08/2023","20:00-20:15","2339.49","315.8","10000"
"01/08/2023","20:15-20:30","2419.64","315.8","10000"
"01/08/2023","20:30-20:45","2456.89","315.8","10000"
"01/08/2023","20:45-21:00","2557.58","299.8","10000"
"01/08/2023","21:00-21:15","2528.74","275.8","10000"
"01/08/2023","21:15-21:30","2597.5","275.8","10000"
"01/08/2023","21:30-21:45","2589.08","275.8","10000"
"01/08/2023","21:45-22:00","2588.56","275.8","10000"
"01/08/2023","22:00-22:15","2487.28","275.8","10000"
"01/08/2023","22:15-22:30","2641.51","275.8","10000"
"01/08/2023","22:30-22:45","2751.93","275.8","10000"
"01/08/2023","22:45-23:00","2977.65","275.8","10000"
"01/08/2023","23:00-23:15","2540.97","275.8","10000"
"01/08/2023","23:15-23:30","2686.35","275.8","10000"
"01/08/2023","23:30-23:45","2815.91","275.8","10000"
"01/08/2023","23:45-24:00","2768.85","291.8","10000"
"02/08/2023","00:00-00:15","1442.54","112","3800.77"
"02/08/2023","00:15-00:30","1266.8","112","3570.05"
"02/08/2023","00:30-00:45","1070.49","112","3500.27"
"02/08/2023","00:45-01:00","973.8","112","3315.82"
"02/08/2023","01:00-01:15","947.47","103.5","3500.02"
"02/08/2023","01:15-01:30","997","45.8","3099.38"
"02/08/2023","01:30-01:45","887.9","10","2999.99"
"02/08/2023","01:45-02:00","874.47","15","3000.47"
"02/08/2023","02:00-02:15","643.9","237.5","3510.02"
"02/08/2023","02:15-02:30","539.8","292.5","3500.87"
"02/08/2023","02:30-02:45","454.9","332.48","3500.87"
"02/08/2023","02:45-03:00","477.7","274.2","3099.68"
"02/08/2023","03:00-03:15","421.04","174.99","3000.72"
"02/08/2023","03:15-03:30","422.4","190","2899.41"
"02/08/2023","03:30-03:45","420","179","2750.18"
"02/08/2023","03:45-04:00","423.5","230","2899.07"
"02/08/2023","04:00-04:15","407.5","265","2948.08"
"02/08/2023","04:15-04:30","405.6","280","2900.81"
"02/08/2023","04:30-04:45","412.4","295","2899.29"
"02/08/2023","04:45-05:00","403","298.3","2948.16"
"02/08/2023","05:00-05:15","274.5","251.5","3099.16"
"02/08/2023","05:15-05:30","223.7","431.9","3281.22"
"02/08/2023","05:30-05:45","233.31","406.5","3300.19"
"02/08/2023","05:45-06:00","265.9","431.1","3240.55"
"02/08/2023","06:00-06:15","194","1096.1","3939.41"
"02/08/2023","06:15-06:30","187","1773.1","4019.03"
"02/08/2023","06:30-06:45","187","2475.8","3999.15"
"02/08/2023","06:45-07:00","209.4","3013.42","3581.65"
"02/08/2023","07:00-07:15","221","3238.14","3463.37"
"02/08/2023","07:15-07:30","231.8","2660.2","3315.06"
"02/08/2023","07:30-07:45","255.3","2685.7","3177.72"
"02/08/2023","07:45-08:00","288.6","2059.6","2960.87"
"02/08/2023","08:00-08:15","316","2231.3","2866.28"
"02/08/2023","08:15-08:30","353.4","1780.1","2796.5"
"02/08/2023","08:30-08:45","359.6","966.5","2792.58"
"02/08/2023","08:45-09:00","356.1","999.1","2792.32"
"02/08/2023","09:00-09:15","341.2","723.4","2784.43"
"02/08/2023","09:15-09:30","343.9","594.7","2788.29"
"02/08/2023","09:30-09:45","334.41","490.01","2750.42"
"02/08/2023","09:45-10:00","346.95","470.5","2600.95"
"02/08/2023","10:00-10:15","347.5","511.8","2499.18"
"02/08/2023","10:15-10:30","340.6","593.96","2499.54"
"02/08/2023","10:30-10:45","347.5","688.87","2340.31"
"02/08/2023","10:45-11:00","347.1","740.13","2350.76"
"02/08/2023","11:00-11:15","382.2","777.46","2110.79"
"02/08/2023","11:15-11:30","376","792.96","2110.88"
"02/08/2023","11:30-11:45","363.36","798.14","2112.09"
"02/08/2023","11:45-12:00","323.4","745.85","2117.47"
"02/08/2023","12:00-12:15","356.6","644.16","2097.36"
"02/08/2023","12:15-12:30","347","708.48","2110.4"
"02/08/2023","12:30-12:45","353.4","703.57","2110.55"
"02/08/2023","12:45-13:00","348.6","658.15","2110.95"
"02/08/2023","13:00-13:15","342.4","587.32","2080.18"
"02/08/2023","13:15-13:30","344","614.8","2091.56"
"02/08/2023","13:30-13:45","349.3","671.14","2110.94"
"02/08/2023","13:45-14:00","312","540.78","2140.26"
"02/08/2023","14:00-14:15","306.4","434.6","2380.92"
"02/08/2023","14:15-14:30","307","368.7","2800.96"
"02/08/2023","14:30-14:45","294.6","338.3","2650.04"
"02/08/2023","14:45-15:00","308.1","301.8","2480.31"
"02/08/2023","15:00-15:15","351.9","283.6","2680.85"
"02/08/2023","15:15-15:30","357.6","276.5","2680.67"
"02/08/2023","15:30-15:45","385.8","248.9","2680.98"
"02/08/2023","15:45-16:00","412.6","303.2","2948.39"
"02/08/2023","16:00-16:15","443.5","445.9","2960.73"
"02/08/2023","16:15-16:30","451.6","929.1","2960.88"
"02/08/2023","16:30-16:45","437.3","1135.8","2948.98"
"02/08/2023","16:45-17:00","465.7","1332.1","2903.9"
"02/08/2023","17:00-17:15","535.3","1238.3","2960.51"
"02/08/2023","17:15-17:30","555.8","1217.8","2960.18"
"02/08/2023","17:30-17:45","552.3","1231.6","2960.69"
"02/08/2023","17:45-18:00","537","1261.1","2989.25"
"02/08/2023","18:00-18:15","593.3","1103.4","3243.06"
"02/08/2023","18:15-18:30","584.2","1528.4","3800.09"
"02/08/2023","18:30-18:45","441.56","835.6","4700.45"
"02/08/2023","18:45-19:00","327.5","393.3","5048.95"
"02/08/2023","19:00-19:15","287.1","259.9","5359.48"
"02/08/2023","19:15-19:30","560.7","218.7","5397.67"
"02/08/2023","19:30-19:45","921.5","268.8","5500.11"
"02/08/2023","19:45-20:00","1241.7","402.8","5999.77"
"02/08/2023","20:00-20:15","1454.6","339.4","6029.79"
"02/08/2023","20:15-20:30","1543.8","331.4","6400.34"
"02/08/2023","20:30-20:45","1685.1","165.4","6510.3"
"02/08/2023","20:45-21:00","1692","150.4","6750.01"
"02/08/2023","21:00-21:15","1569.2","225.7","7097.13"
"02/08/2023","21:15-21:30","1476.4","178.7","7999.54"
"02/08/2023","21:30-21:45","1468.7","127.7","7999.26"
"02/08/2023","21:45-22:00","1461.5","79.7","8499.4"
"02/08/2023","22:00-22:15","1550.3","79.7","7097.06"
"02/08/2023","22:15-22:30","1788","79.7","8499.55"
"02/08/2023","22:30-22:45","1823.4","79.7","7999.95"
"02/08/2023","22:45-23:00","1730.5","79.7","6999.61"
"02/08/2023","23:00-23:15","1513.7","79.7","6029.98"
"02/08/2023","23:15-23:30","1407.2","79.7","6029.46"
"02/08/2023","23:30-23:45","1388.6","79.7","6029.46"
"02/08/2023","23:45-24:00","1293.8","79.7","5900.74"
"03/08/2023","00:00-00:15","875.1","99.5","3348.35"
"03/08/2023","00:15-00:30","786.04","99.5","3500.15"
"03/08/2023","00:30-00:45","694.6","99.5","3420.14"
"03/08/2023","00:45-01:00","679.99","99.5","3500.66"
"03/08/2023","01:00-01:15","797.1","108.7","3099.91"
"03/08/2023","01:15-01:30","772.4","13","2999.78"
"03/08/2023","01:30-01:45","770.2","58","2999.53"
"03/08/2023","01:45-02:00","726.8","58","2948.86"
"03/08/2023","02:00-02:15","580.7","6","2948.63"
"03/08/2023","02:15-02:30","510.1","6","2948.35"
"03/08/2023","02:30-02:45","429.4","6","2701.28"
"03/08/2023","02:45-03:00","418","6","2500.78"
"03/08/2023","03:00-03:15","449.6","6","2500.85"
"03/08/2023","03:15-03:30","413.5","6","2500.9"
"03/08/2023","03:30-03:45","402.6","22","2500.71"
"03/08/2023","03:45-04:00","397.4","52","2500.55"
"03/08/2023","04:00-04:15","388","82","2500.75"
"03/08/2023","04:15-04:30","396","117","2500.71"
"03/08/2023","04:30-04:45","400.7","152","2501"
"03/08/2023","04:45-05:00","393.9","213","2899.01"
"03/08/2023","05:00-05:15","268.2","123","2900.88"
"03/08/2023","05:15-05:30","276.3","138","2999.61"
"03/08/2023","05:30-05:45","254.1","257.5","3177.12"
"03/08/2023","05:45-06:00","313.2","266.2","3194.58"
"03/08/2023","06:00-06:15","270.5","961.4","3536.89"
"03/08/2023","06:15-06:30","248.3","1799.6","3675.43"
"03/08/2023","06:30-06:45","255.03","2543.23","3640.31"
"03/08/2023","06:45-07:00","275.61","3169.93","3500.03"
"03/08/2023","07:00-07:15","306.76","3206.8","3250.74"
"03/08/2023","07:15-07:30","285.8","3143.6","3177.27"
"03/08/2023","07:30-07:45","249.13","2898.3","3000.81"
"03/08/2023","07:45-08:00","264.5","2263.2","2948.04"
"03/08/2023","08:00-08:15","358.6","1295","2788.42"
"03/08/2023","08:15-08:30","357.7","1044.6","2784.93"
"03/08/2023","08:30-08:45","361.8","966.4","2784.93"
"03/08/2023","08:45-09:00","368.7","587.9","2782.33"
"03/08/2023","09:00-09:15","371.6","590.9","2778.56"
"03/08/2023","09:15-09:30","373.4","524.1","2782.33"
"03/08/2023","09:30-09:45","381.3","467.7","2729.21"
"03/08/2023","09:45-10:00","395.95","464.3","2500.8"
"03/08/2023","10:00-10:15","387.19","484.5","2500.34"
"03/08/2023","10:15-10:30","385.34","445.21","2500.3"
"03/08/2023","10:30-10:45","377.8","418.9","2498.78"
"03/08/2023","10:45-11:00","411.76","343.06","2112.28"
"03/08/2023","11:00-11:15","405.8","355.9","1999.97"
"03/08/2023","11:15-11:30","425.7","340.1","2000.17"
"03/08/2023","11:30-11:45","446.2","353.1","2000.46"
"03/08/2023","11:45-12:00","430.9","364.4","2000.42"
"03/08/2023","12:00-12:15","457.2","346.5","1999.81"
"03/08/2023","12:15-12:30","448.9","346.3","1999.9"
"03/08/2023","12:30-12:45","459.7","345.9","1999.9"
"03/08/2023","12:45-13:00","426.4","345.6","1999.88"
"03/08/2023","13:00-13:15","371","361.4","1999.75"
"03/08/2023","13:15-13:30","374.9","373.4","1999.74"
"03/08/2023","13:30-13:45","407.7","366.6","1999.75"
"03/08/2023","13:45-14:00","470.5","349.6","1999.91"
"03/08/2023","14:00-14:15","574.6","379.9","2000.46"
"03/08/2023","14:15-14:30","620.6","377.77","2113.92"
"03/08/2023","14:30-14:45","423.6","328","2110.36"
"03/08/2023","14:45-15:00","418.5","315.8","2180.74"
"03/08/2023","15:00-15:15","435.4","294","2500.26"
"03/08/2023","15:15-15:30","434","284.8","2500.69"
"03/08/2023","15:30-15:45","449.2","258.1","2894.31"
"03/08/2023","15:45-16:00","461.5","326.2","2903.66"
"03/08/2023","16:00-16:15","463.3","218.9","2948.63"
"03/08/2023","16:15-16:30","481.4","655","2960.09"
"03/08/2023","16:30-16:45","474.6","1070.4","2903.37"
"03/08/2023","16:45-17:00","463.5","1239.9","2899.49"
"03/08/2023","17:00-17:15","548.6","1035.9","2960.17"
"03/08/2023","17:15-17:30","535.9","1109.2","2960.19"
"03/08/2023","17:30-17:45","567.7","1320.1","2989.65"
"03/08/2023","17:45-18:00","535.6","1140.5","3020.93"
"03/08/2023","18:00-18:15","572","940.66","3378.23"
"03/08/2023","18:15-18:30","568.2","806.89","3412.8"
"03/08/2023","18:30-18:45","538.94","1157.7","4000.46"
"03/08/2023","18:45-19:00","522.7","383","4469.43"
