"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/07/2023","00:00-00:15","422.65","255.5","3650.36"
"01/07/2023","00:15-00:30","391.3","300.5","3999.39"
"01/07/2023","00:30-00:45","340.5","330.5","4018.47"
"01/07/2023","00:45-01:00","375.4","370.5","3987.78"
"01/07/2023","01:00-01:15","397.3","360.5","3519.56"
"01/07/2023","01:15-01:30","367.6","407.5","3342.95"
"01/07/2023","01:30-01:45","369.2","407.5","3322.99"
"01/07/2023","01:45-02:00","372.9","437.5","3322.59"
"01/07/2023","02:00-02:15","325.8","499.5","3299.5"
"01/07/2023","02:15-02:30","316.7","500.5","3199.21"
"01/07/2023","02:30-02:45","344.2","516.5","2948.75"
"01/07/2023","02:45-03:00","349.5","531.5","2780"
"01/07/2023","03:00-03:15","362.6","440.5","2749.7"
"01/07/2023","03:15-03:30","378.2","429","2660.95"
"01/07/2023","03:30-03:45","366.6","468","2646.74"
"01/07/2023","03:45-04:00","370.9","509","2646.37"
"01/07/2023","04:00-04:15","352.4","500","2646.07"
"01/07/2023","04:15-04:30","358.2","571","2562.45"
"01/07/2023","04:30-04:45","375.5","621","2543.95"
"01/07/2023","04:45-05:00","388.3","622","2544.39"
"01/07/2023","05:00-05:15","358.5","609.5","2779.68"
"01/07/2023","05:15-05:30","369.8","685.5","2885.05"
"01/07/2023","05:30-05:45","323.11","684.49","3100.72"
"01/07/2023","05:45-06:00","292.74","769.1","3252.3"
"01/07/2023","06:00-06:15","279.7","966.9","3322.34"
"01/07/2023","06:15-06:30","291.1","1690.7","3303.59"
"01/07/2023","06:30-06:45","345.6","2395.7","3126.51"
"01/07/2023","06:45-07:00","399","3105.4","2779.74"
"01/07/2023","07:00-07:15","422.5","1835.52","2749.06"
"01/07/2023","07:15-07:30","426.1","1342.6","2747.21"
"01/07/2023","07:30-07:45","430.9","569.4","2646.58"
"01/07/2023","07:45-08:00","416.1","622.1","2499.37"
"01/07/2023","08:00-08:15","415.5","659.9","2169.2"
"01/07/2023","08:15-08:30","426.3","710.6","2110.26"
"01/07/2023","08:30-08:45","422.6","762.3","2049.4"
"01/07/2023","08:45-09:00","418.2","807.2","2049.1"
"01/07/2023","09:00-09:15","427.6","859","2049.56"
"01/07/2023","09:15-09:30","420.3","881","2049.66"
"01/07/2023","09:30-09:45","414.8","870.3","2049.02"
"01/07/2023","09:45-10:00","433","840.4","2000.19"
"01/07/2023","10:00-10:15","424.9","916","1999.7"
"01/07/2023","10:15-10:30","423.2","889.5","1999.86"
"01/07/2023","10:30-10:45","380.9","867.3","2020.91"
"01/07/2023","10:45-11:00","395.4","834.4","2049.25"
"01/07/2023","11:00-11:15","378.5","781.6","2049.42"
"01/07/2023","11:15-11:30","369.4","754.9","2049.55"
"01/07/2023","11:30-11:45","367.1","741.7","2049.71"
"01/07/2023","11:45-12:00","373.1","738.8","2049.83"
"01/07/2023","12:00-12:15","341.1","811.86","2049.06"
"01/07/2023","12:15-12:30","339.7","799.08","2049.19"
"01/07/2023","12:30-12:45","328.26","845.7","2012.89"
"01/07/2023","12:45-13:00","307","809.81","2049.02"
"01/07/2023","13:00-13:15","336.3","801.35","1999.54"
"01/07/2023","13:15-13:30","333","766.49","1999.78"
"01/07/2023","13:30-13:45","342.4","689.21","2000.75"
"01/07/2023","13:45-14:00","294.2","599.87","2049.11"
"01/07/2023","14:00-14:15","314.6","626.31","2049.04"
"01/07/2023","14:15-14:30","318.9","564.2","2049.09"
"01/07/2023","14:30-14:45","327","523.2","2049.09"
"01/07/2023","14:45-15:00","333.7","501.3","2049.35"
"01/07/2023","15:00-15:15","308.3","484","2049.34"
"01/07/2023","15:15-15:30","311.8","466.3","2049.5"
"01/07/2023","15:30-15:45","322.5","448.1","2049.95"
"01/07/2023","15:45-16:00","324.5","429.3","2110.87"
"01/07/2023","16:00-16:15","340.2","467","2169.06"
"01/07/2023","16:15-16:30","352.5","446.1","2169.17"
"01/07/2023","16:30-16:45","365.3","401.2","2169.09"
"01/07/2023","16:45-17:00","361.7","390","2169.22"
"01/07/2023","17:00-17:15","446.8","319.7","2049.7"
"01/07/2023","17:15-17:30","446.7","292.4","2399.26"
"01/07/2023","17:30-17:45","455.7","255.3","2469.58"
"01/07/2023","17:45-18:00","453.1","233.4","2646.17"
"01/07/2023","18:00-18:15","468.9","345.64","2699.49"
"01/07/2023","18:15-18:30","464.1","1075.89","2755.83"
"01/07/2023","18:30-18:45","439.2","928.1","3303.55"
"01/07/2023","18:45-19:00","441.3","770.4","3457.44"
"01/07/2023","19:00-19:15","433.7","514.5","4169.68"
"01/07/2023","19:15-19:30","405.89","485.5","4400.01"
"01/07/2023","19:30-19:45","403.7","490.5","4449.74"
"01/07/2023","19:45-20:00","401.8","450.5","4549.45"
"01/07/2023","20:00-20:15","505.9","381.5","4632.53"
"01/07/2023","20:15-20:30","596.49","353.5","4700.34"
"01/07/2023","20:30-20:45","547.1","319.5","5042.47"
"01/07/2023","20:45-21:00","647","274.5","5290.78"
"01/07/2023","21:00-21:15","630.7","366.6","6000.82"
"01/07/2023","21:15-21:30","616","311.6","6510.14"
"01/07/2023","21:30-21:45","624.7","297.6","9749.24"
"01/07/2023","21:45-22:00","652.26","328.6","10000"
"01/07/2023","22:00-22:15","574.85","619.6","10000"
"01/07/2023","22:15-22:30","721.7","534.6","10000"
"01/07/2023","22:30-22:45","760.78","468.6","10000"
"01/07/2023","22:45-23:00","837.87","426.6","10000"
"01/07/2023","23:00-23:15","610.6","301.6","9249.92"
"01/07/2023","23:15-23:30","503.5","304.6","7732.97"
"01/07/2023","23:30-23:45","410.1","316.6","6510.52"
