"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/06/2023","00:00-00:15","89.07","656.5","10000"
"01/06/2023","00:15-00:30","87.16","667.5","10000"
"01/06/2023","00:30-00:45","86.35","688.5","10000"
"01/06/2023","00:45-01:00","85.98","712.5","10000"
"01/06/2023","01:00-01:15","98.55","777.5","10000"
"01/06/2023","01:15-01:30","99.83","842.5","10000"
"01/06/2023","01:30-01:45","138.05","906.5","10000"
"01/06/2023","01:45-02:00","182.4","977.49","10000"
"01/06/2023","02:00-02:15","179.34","999.5","10000"
"01/06/2023","02:15-02:30","185.48","1081.5","10000"
"01/06/2023","02:30-02:45","181.8","1263.5","8093.25"
"01/06/2023","02:45-03:00","247.7","1411.5","6000.2"
"01/06/2023","03:00-03:15","239.3","1304.5","5332.52"
"01/06/2023","03:15-03:30","248.5","1410.5","4750.12"
"01/06/2023","03:30-03:45","283.8","1548.5","5029.82"
"01/06/2023","03:45-04:00","334.4","1626.2","4428.83"
"01/06/2023","04:00-04:15","360.2","1550.5","4250.55"
"01/06/2023","04:15-04:30","348.6","1535.4","4428.24"
"01/06/2023","04:30-04:45","384.3","1734.5","4499.32"
"01/06/2023","04:45-05:00","373.6","1665.5","4951.59"
"01/06/2023","05:00-05:15","368.2","2264.5","3899.86"
"01/06/2023","05:15-05:30","406.9","2093.5","3988.59"
"01/06/2023","05:30-05:45","363.1","2353.5","4809.49"
"01/06/2023","05:45-06:00","362.2","2215.5","4428.68"
"01/06/2023","06:00-06:15","490.3","2372.6","3850.2"
"01/06/2023","06:15-06:30","505.1","2896.2","3560.06"
"01/06/2023","06:30-06:45","539.9","3548.67","3498.37"
"01/06/2023","06:45-07:00","578.7","3574.2","3452.92"
"01/06/2023","07:00-07:15","683.9","3666.61","3219.43"
"01/06/2023","07:15-07:30","716.67","3742.23","3000.27"
"01/06/2023","07:30-07:45","728.5","3784.5","2978.49"
"01/06/2023","07:45-08:00","736.6","3830.41","2948.85"
"01/06/2023","08:00-08:15","741.3","3996.6","2888.82"
"01/06/2023","08:15-08:30","701.1","3755.6","3140.25"
"01/06/2023","08:30-08:45","712.7","3689.5","3193.23"
"01/06/2023","08:45-09:00","672.44","3469.37","3100.98"
"01/06/2023","09:00-09:15","661.5","3593.6","3062.59"
"01/06/2023","09:15-09:30","591.9","3311.9","3253.9"
"01/06/2023","09:30-09:45","558.2","3472.4","3456.94"
"01/06/2023","09:45-10:00","583.5","3240.1","3500.6"
"01/06/2023","10:00-10:15","563.7","2831.6","3499.29"
"01/06/2023","10:15-10:30","571.2","2070.8","3564.67"
"01/06/2023","10:30-10:45","578.7","1956.1","3590.31"
"01/06/2023","10:45-11:00","596.3","1975.1","3590.55"
