"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/05/2023","00:00-00:15","502","464.48","3638.56"
"01/05/2023","00:15-00:30","496.6","520.91","3638.77"
"01/05/2023","00:30-00:45","486.3","453.5","3637.15"
"01/05/2023","00:45-01:00","500.3","470.5","3549.46"
"01/05/2023","01:00-01:15","486.69","458.49","3500.63"
"01/05/2023","01:15-01:30","492.4","524.5","3502.24"
"01/05/2023","01:30-01:45","500.08","592.5","3350.56"
"01/05/2023","01:45-02:00","501.6","643.5","3099.97"
"01/05/2023","02:00-02:15","490.8","629.5","3495.29"
"01/05/2023","02:15-02:30","491.84","626.49","3500.79"
"01/05/2023","02:30-02:45","493.9","626.5","3511.71"
"01/05/2023","02:45-03:00","499.67","649.5","3550.8"
"01/05/2023","03:00-03:15","493","725.5","3498.8"
"01/05/2023","03:15-03:30","493.2","745.5","3469.52"
"01/05/2023","03:30-03:45","478.2","719.5","3435.09"
"01/05/2023","03:45-04:00","475.3","552.8","3415.3"
"01/05/2023","04:00-04:15","465.8","702.1","3435.68"
"01/05/2023","04:15-04:30","472.9","668.1","3358.84"
"01/05/2023","04:30-04:45","468.5","483.7","3358.15"
"01/05/2023","04:45-05:00","476.3","562.3","3358.52"
"01/05/2023","05:00-05:15","253.8","653","3436.2"
"01/05/2023","05:15-05:30","262.3","649.5","3425.55"
"01/05/2023","05:30-05:45","245.5","660.5","3498.01"
"01/05/2023","05:45-06:00","249.8","496.5","3498.1"
"01/05/2023","06:00-06:15","420.7","435.5","3068.67"
"01/05/2023","06:15-06:30","502.53","738.53","2980.41"
"01/05/2023","06:30-06:45","513.6","1140.2","2900.62"
"01/05/2023","06:45-07:00","505.23","1228.13","2980.23"
"01/05/2023","07:00-07:15","543.53","1369.19","2750.13"
"01/05/2023","07:15-07:30","551.66","1540.1","2750.67"
"01/05/2023","07:30-07:45","570.1","1545","2710.65"
"01/05/2023","07:45-08:00","616.9","1279.6","2678.45"
"01/05/2023","08:00-08:15","592.2","882.23","2273.11"
"01/05/2023","08:15-08:30","585","762.52","2168.82"
