"Delivery Date","Time Period","Cleared Buy (MW)","Cleared Sell (MW)","Price (Rs./MWh)"
"01/09/2023","00:00-00:15","190.29","66.6","10000"
"01/09/2023","00:15-00:30","158.26","66.6","10000"
"01/09/2023","00:30-00:45","127.58","66.6","10000"
"01/09/2023","00:45-01:00","104.6","66.6","10000"
"01/09/2023","01:00-01:15","76.91","66.6","10000"
"01/09/2023","01:15-01:30","55.33","106.6","10000"
"01/09/2023","01:30-01:45","81.63","176.6","10000"
"01/09/2023","01:45-02:00","73.33","259.6","10000"
"01/09/2023","02:00-02:15","87.89","229.6","10000"
"01/09/2023","02:15-02:30","65.56","260.59","10000"
"01/09/2023","02:30-02:45","72.77","324.6","10000"
"01/09/2023","02:45-03:00","79.7","376.6","10000"
"01/09/2023","03:00-03:15","80.63","345.6","10000"
"01/09/2023","03:15-03:30","82.52","386.6","10000"
"01/09/2023","03:30-03:45","86.2","437.59","10000"
"01/09/2023","03:45-04:00","90.52","489.6","10000"
"01/09/2023","04:00-04:15","89.21","509.29","10000"
"01/09/2023","04:15-04:30","93.95","529.29","10000"
"01/09/2023","04:30-04:45","91.34","568.3","10000"
"01/09/2023","04:45-05:00","81.6","538.3","10000"
"01/09/2023","05:00-05:15","90.02","462.3","10000"
"01/09/2023","05:15-05:30","158.16","445.3","10000"
"01/09/2023","05:30-05:45","189.19","494.3","10000"
"01/09/2023","05:45-06:00","181.36","505.3","10000"
"01/09/2023","06:00-06:15","185.38","452.3","10000"
"01/09/2023","06:15-06:30","184.22","466.5","10000"
"01/09/2023","06:30-06:45","192.47","662.8","10000"
"01/09/2023","06:45-07:00","211.15","832","10000"
"01/09/2023","07:00-07:15","242.18","1311.6","10000"
"01/09/2023","07:15-07:30","271.92","1469","10000"
"01/09/2023","07:30-07:45","285.48","1529.5","10000"
"01/09/2023","07:45-08:00","303.76","1538","10000"
"01/09/2023","08:00-08:15","377.24","1992.5","10000"
"01/09/2023","08:15-08:30","376.94","1872","10000"
"01/09/2023","08:30-08:45","395.92","1701.7","10000"
"01/09/2023","08:45-09:00","385.06","1528.2","10000"
"01/09/2023","09:00-09:15","353.51","1486.7","10000"
"01/09/2023","09:15-09:30","343","1175.2","10000"
"01/09/2023","09:30-09:45","308.73","994.5","10000"
"01/09/2023","09:45-10:00","286.58","950.99","10000"
"01/09/2023","10:00-10:15","279.18","926.3","10000"
"01/09/2023","10:15-10:30","264.47","893.7","10000"
"01/09/2023","10:30-10:45","261.9","851.9","10000"
"01/09/2023","10:45-11:00","226.36","823.99","10000"
"01/09/2023","11:00-11:15","186.06","773.3","10000"
"01/09/2023","11:15-11:30","192.21","741.4","10000"
"01/09/2023","11:30-11:45","198.32","706.58","10000"
"01/09/2023","11:45-12:00","191.54","683.59","10000"
"01/09/2023","12:00-12:15","168.29","659.7","10000"
"01/09/2023","12:15-12:30","164.46","638.99","10000"
"01/09/2023","12:30-12:45","168.11","625","10000"
"01/09/2023","12:45-13:00","167.91","630.1","10000"
"01/09/2023","13:00-13:15","179.3","735.7","10000"
"01/09/2023","13:15-13:30","239.13","726.59","10000"
"01/09/2023","13:30-13:45","234.55","666.5","10000"
"01/09/2023","13:45-14:00","242.56","610.4","10000"
"01/09/2023","14:00-14:15","224.69","629.3","10000"
"01/09/2023","14:15-14:30","226.41","563","10000"
"01/09/2023","14:30-14:45","150.57","467.8","10000"
"01/09/2023","14:45-15:00","139.73","383.4","10000"
"01/09/2023","15:00-15:15","112.91","336.2","10000"
"01/09/2023","15:15-15:30","128.77","308.78","10000"
"01/09/2023","15:30-15:45","114.35","276.3","10000"
"01/09/2023","15:45-16:00","136.24","239.8","10000"
"01/09/2023","16:00-16:15","140.21","144.4","10000"
"01/09/2023","16:15-16:30","128.98","140.8","10000"
"01/09/2023","16:30-16:45","107.1","131.3","10000"
"01/09/2023","16:45-17:00","98.72","127.9","10000"
"01/09/2023","17:00-17:15","72.04","123.3","10000"
"01/09/2023","17:15-17:30","58.6","119.8","10000"
"01/09/2023","17:30-17:45","57.87","122.3","10000"
"01/09/2023","17:45-18:00","56.72","151.8","10000"
"01/09/2023","18:00-18:15","48.95","111.4","10000"
"01/09/2023","18:15-18:30","45.44","109","10000"
"01/09/2023","18:30-18:45","39.84","106.39","10000"
"01/09/2023","18:45-19:00","34.21","105.29","10000"
"01/09/2023","19:00-19:15","73.74","63.4","10000"
"01/09/2023","19:15-19:30","135.21","62.4","10000"
"01/09/2023","19:30-19:45","179.31","62.4","10000"
"01/09/2023","19:45-20:00","194.14","62.4","10000"
"01/09/2023","20:00-20:15","184.99","92.4","10000"
"01/09/2023","20:15-20:30","193.41","107.4","10000"
"01/09/2023","20:30-20:45","200.11","87.4","10000"
"01/09/2023","20:45-21:00","211.19","62.4","10000"
"01/09/2023","21:00-21:15","215.34","62.4","10000"
"01/09/2023","21:15-21:30","222.89","62.4","10000"
"01/09/2023","21:30-21:45","256.36","62.4","10000"
"01/09/2023","21:45-22:00","268.62","62.4","10000"
"01/09/2023","22:00-22:15","270.57","63.4","10000"
"01/09/2023","22:15-22:30","314.65","63.4","10000"
"01/09/2023","22:30-22:45","338.67","63.4","10000"
"01/09/2023","22:45-23:00","354.47","63.4","10000"
"01/09/2023","23:00-23:15","347.45","63.4","10000"
"01/09/2023","23:15-23:30","349.33","63.4","10000"
"01/09/2023","23:30-23:45","332.23","63.4","10000"
"01/09/2023","23:45-24:00","311.91","63.4","10000"
"02/09/2023","00:00-00:15","395.62","92.4","10000"
"02/09/2023","00:15-00:30","338.72","95.4","10000"
"02/09/2023","00:30-00:45","263.59","95.4","10000"
"02/09/2023","00:45-01:00","225.47","95.4","10000"
"02/09/2023","01:00-01:15","214.08","154.4","10000"
"02/09/2023","01:15-01:30","213.63","217.4","10000"
"02/09/2023","01:30-01:45","204.79","314.4","10000"
"02/09/2023","01:45-02:00","201.04","393.4","10000"
"02/09/2023","02:00-02:15","261.31","409.4","10000"
"02/09/2023","02:15-02:30","257.58","445.4","10000"
"02/09/2023","02:30-02:45","238.38","481.4","10000"
"02/09/2023","02:45-03:00","224.11","509.4","10000"
"02/09/2023","03:00-03:15","348.62","459.4","10000"
"02/09/2023","03:15-03:30","333.89","493.4","10000"
"02/09/2023","03:30-03:45","314.01","499.4","10000"
"02/09/2023","03:45-04:00","304.23","539.4","10000"
"02/09/2023","04:00-04:15","331.96","549.1","10000"
"02/09/2023","04:15-04:30","322.03","585.1","10000"
"02/09/2023","04:30-04:45","322.72","632.1","10000"
"02/09/2023","04:45-05:00","293.23","661.1","10000"
"02/09/2023","05:00-05:15","140.63","562.1","10000"
"02/09/2023","05:15-05:30","138.06","586.1","10000"
"02/09/2023","05:30-05:45","156.09","623.1","10000"
"02/09/2023","05:45-06:00","155.1","650.1","10000"
"02/09/2023","06:00-06:15","152.36","663.1","10000"
"02/09/2023","06:15-06:30","166.21","699.3","10000"
"02/09/2023","06:30-06:45","166.67","726.6","10000"
"02/09/2023","06:45-07:00","168.6","772.9","10000"
"02/09/2023","07:00-07:15","194.69","1246.3","10000"
"02/09/2023","07:15-07:30","234.33","1422.9","10000"
"02/09/2023","07:30-07:45","252.83","1437.4","10000"
"02/09/2023","07:45-08:00","284.05","1430","10000"
"02/09/2023","08:00-08:15","334.35","1748.5","10000"
"02/09/2023","08:15-08:30","342.07","1666.09","10000"
"02/09/2023","08:30-08:45","340.23","1510.5","10000"
"02/09/2023","08:45-09:00","304.13","1429.18","10000"
"02/09/2023","09:00-09:15","299.99","1440.8","10000"
"02/09/2023","09:15-09:30","271.05","1438.2","10000"
"02/09/2023","09:30-09:45","259.41","1400.59","10000"
"02/09/2023","09:45-10:00","277.62","1358.99","10000"
"02/09/2023","10:00-10:15","255.75","1343.28","10000"
"02/09/2023","10:15-10:30","213.47","1319.5","10000"
"02/09/2023","10:30-10:45","221.83","1295.79","10000"
"02/09/2023","10:45-11:00","242.38","1248.09","10000"
"02/09/2023","11:00-11:15","214.91","1214.19","10000"
"02/09/2023","11:15-11:30","238.71","1186.5","10000"
"02/09/2023","11:30-11:45","232.87","1147.7","10000"
"02/09/2023","11:45-12:00","223.62","1121.7","10000"
"02/09/2023","12:00-12:15","229.37","1084.8","10000"
"02/09/2023","12:15-12:30","252.08","1050.89","10000"
"02/09/2023","12:30-12:45","234.32","1053.9","10000"
"02/09/2023","12:45-13:00","229.43","1040.9","10000"
"02/09/2023","13:00-13:15","245.59","1146.7","10000"
"02/09/2023","13:15-13:30","240.44","1142.7","10000"
"02/09/2023","13:30-13:45","245.65","1058.6","10000"
"02/09/2023","13:45-14:00","260.33","981.28","10000"
"02/09/2023","14:00-14:15","236.75","963.1","10000"
"02/09/2023","14:15-14:30","223.03","893","10000"
"02/09/2023","14:30-14:45","200.65","813.7","10000"
"02/09/2023","14:45-15:00","181.33","744.5","10000"
